,ZCTA5,STATE,COUNTY
1343,4556,23,15
1344,4558,23,15
1345,4562,23,23
1346,4563,23,13
1347,4564,23,15
1348,4568,23,15
1349,4570,23,15
1350,4571,23,15
1351,4572,23,15
1352,4573,23,15
1353,4574,23,13
1354,4575,23,15
1355,4576,23,15
1356,4578,23,15
1357,4579,23,23
1358,4605,23,9
1359,4606,23,29
1360,4607,23,9
1361,4609,23,9
1362,4611,23,29
1363,4612,23,9
1364,4613,23,9
1365,4614,23,9
1366,4616,23,9
1367,4617,23,9
1368,4619,23,29
1369,4622,23,9
1370,4622,23,29
1371,4623,23,29
1372,4624,23,9
1373,4625,23,9
1374,4626,23,29
1375,4627,23,9
1376,4628,23,29
1377,4629,23,9
1378,4630,23,29
1379,4631,23,29
1380,4634,23,9
1381,4635,23,9
1382,4637,23,29
1383,4640,23,9
1384,4642,23,9
1385,4643,23,29
1386,4644,23,9
1387,4645,23,13
1388,4646,23,9
1389,4648,23,29
1390,4649,23,29
1391,4650,23,9
1392,4652,23,29
1393,4653,23,9
1394,4654,23,29
1395,4655,23,29
1396,4657,23,29
1397,4658,23,29
1398,4660,23,9
1399,4662,23,9
1400,4664,23,9
1401,4666,23,29
1402,4667,23,29
1403,4668,23,29
1404,4669,23,9
1405,4671,23,29
1406,4673,23,9
1407,4674,23,9
1408,4675,23,9
1409,4676,23,9
1410,4677,23,9
1411,4679,23,9
1412,4680,23,29
1413,4681,23,9
1414,4683,23,9
1415,4684,23,9
1416,4685,23,9
1417,4686,23,29
1418,4691,23,29
1419,4693,23,9
1420,4694,23,29
1421,4730,23,3
1422,4732,23,3
1423,4732,23,21
1424,4733,23,3
1425,4733,23,19
1426,4734,23,3
1427,4735,23,3
1428,4736,23,3
1429,4739,23,3
1430,4740,23,3
1431,4741,23,3
1432,4742,23,3
1433,4743,23,3
1434,4745,23,3
1435,4746,23,3
1436,4747,23,3
1437,4750,23,3
1438,4756,23,3
1439,4757,23,3
1440,4758,23,3
1441,4760,23,3
1442,4761,23,3
1443,4762,23,3
1444,4763,23,3
1445,4764,23,3
1446,4765,23,3
1447,4765,23,19
1448,4766,23,3
1449,4768,23,3
1450,4769,23,3
1451,4772,23,3
1452,4773,23,3
1453,4774,23,3
1454,4776,23,3
1455,4777,23,19
1456,4779,23,3
1457,4780,23,3
1458,4781,23,3
1459,4783,23,3
1460,4785,23,3
1461,4786,23,3
1462,4787,23,3
1463,4841,23,13
1464,4843,23,13
1465,4847,23,13
1466,4848,23,27
1467,4849,23,27
1468,4851,23,13
1469,4852,23,15
1470,4853,23,13
1471,4854,23,13
1472,4855,23,13
1473,4856,23,13
1474,4858,23,13
1475,4859,23,13
1476,4860,23,13
1477,4861,23,13
1478,4862,23,13
1479,4863,23,13
1480,4864,23,13
1481,4901,23,11
1482,4910,23,11
1483,4911,23,25
1484,4912,23,25
1485,4915,23,27
1486,4917,23,11
1487,4918,23,11
1488,4920,23,25
1489,4921,23,27
1490,4922,23,27
1491,4923,23,25
1492,4924,23,25
1493,4925,23,25
1494,4926,23,11
1495,4927,23,11
1496,4928,23,19
1497,4929,23,25
1498,4930,23,19
1499,4930,23,25
1500,4932,23,19
1501,4933,23,19
1502,4936,23,7
1503,4937,23,25
1504,4938,23,7
1505,4939,23,19
1506,4940,23,7
1507,4941,23,27
